
======================================SUBJECT-VERB EDGE==============================================

	Weight			Connection name
	10447911			drink-sofa
	9601689			drink-monitor
	7921584			cartwheel-aeroplane
	9158447			cartwheel-bicycle
	8373638			cartwheel-bird
	8750588			cartwheel-boat
	9274673			cartwheel-bottle
	9310369			cartwheel-person
	9150358			cartwheel-car
	9505649			cartwheel-bus
	7951797			cartwheel-dog
	7445785			cartwheel-cat
	8702708			cartwheel-chair
	6729142			cartwheel-table
	6074490			cartwheel-cow
	7086243			cartwheel-horse
	8726071			cartwheel-bike
	9667053			cartwheel-plant
	6235496			cartwheel-sheep
	8558346			cartwheel-sofa
	7865168			cartwheel-monitor
	11052212			clap-aeroplane
	12777886			clap-bicycle
	11682919			clap-bird
	12208841			clap-boat
	12940045			clap-bottle
	12989849			clap-person
	12766600			clap-car
	13262303			clap-bus
	11094366			clap-dog
	10388376			clap-cat
	12142038			clap-chair
	9388515			clap-table
	8475142			clap-cow
	9886742			clap-horse
	12174635			clap-bike
	13487495			clap-plant
	8699778			clap-sheep
	11940624			clap-sofa
	10973501			clap-monitor
	10459770			climb-aeroplane
	12092941			climb-bicycle
	11056668			climb-bird
	11554398			climb-boat
	12246407			climb-bottle
	12293542			climb-person
	12082260			climb-car
	12551391			climb-bus
	10499663			climb-dog
	9831518			climb-cat
	11491177			climb-chair
	8885253			climb-table
	8020841			climb-cow
	9356773			climb-horse
	11522026			climb-bike
	12764511			climb-plant
	8233435			climb-sheep
	11300559			climb-sofa
	10385278			climb-monitor
	0			climb stairs-aeroplane
	0			climb stairs-bicycle
	0			climb stairs-bird
	0			climb stairs-boat
	0			climb stairs-bottle
	0			climb stairs-person
	0			climb stairs-car
	0			climb stairs-bus
	0			climb stairs-dog
	0			climb stairs-cat
	0			climb stairs-chair
	0			climb stairs-table
	0			climb stairs-cow
	0			climb stairs-horse
	0			climb stairs-bike
	0			climb stairs-plant
	0			climb stairs-sheep
	0			climb stairs-sofa
	0			climb stairs-monitor
	9568979			dive-aeroplane
	11063064			dive-bicycle
	10115044			dive-bird
	10570386			dive-boat
	11203461			dive-bottle
	11246581			dive-person
	11053293			dive-car
	11482471			dive-bus
	9605476			dive-dog
	8994232			dive-cat
	10512548			dive-chair
	8128554			dive-table
	7337758			dive-cow
	8559918			dive-horse
	10540770			dive-bike
	11677441			dive-plant
	7532248			dive-sheep
	10338165			dive-sofa
	9500831			dive-monitor
	10972576			fall-aeroplane
	12685816			fall-bicycle
	11598738			fall-bird
	12120870			fall-boat
	12846806			fall-bottle
	12896251			fall-person
	12674611			fall-car
	13166742			fall-bus
	11014426			fall-dog
	10313523			fall-cat
	12054549			fall-chair
	9320866			fall-table
	8414075			fall-cow
	9815504			fall-horse
	12086911			fall-bike
	13390311			fall-plant
	8637092			fall-sheep
	11854587			fall-sofa
	10894432			fall-monitor
	0			backhand flip-aeroplane
	0			backhand flip-bicycle
	0			backhand flip-bird
	0			backhand flip-boat
	0			backhand flip-bottle
	0			backhand flip-person
	0			backhand flip-car
	0			backhand flip-bus
	0			backhand flip-dog
	0			backhand flip-cat
	0			backhand flip-chair
	0			backhand flip-table
	0			backhand flip-cow
	0			backhand flip-horse
	0			backhand flip-bike
	0			backhand flip-plant
	0			backhand flip-sheep
	0			backhand flip-sofa
	0			backhand flip-monitor
	7745271			handstand-aeroplane
